Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
954	a	sp|Q99471|PFD5_HUMAN	Q99471	PFD5_HUMAN	PFDN5	154	11.70	Homo sapiens OX=9606	Prefoldin subunit 5 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
955	a	sp|Q99575|POP1_HUMAN	Q99575	POP1_HUMAN	POP1	1024	1.80	Homo sapiens OX=9606	Ribonucleases P/MRP protein subunit POP1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
956	a	sp|Q99643|C560_HUMAN	Q99643	C560_HUMAN	SDHC	169	7.70	Homo sapiens OX=9606	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	3C(57.0215)		
957	a	sp|Q99829|CPNE1_HUMAN	Q99829	CPNE1_HUMAN	CPNE1	537	3.00	Homo sapiens OX=9606	Copine-1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
958	a	sp|Q99848|EBP2_HUMAN	Q99848	EBP2_HUMAN	EBNA1BP2	306	7.20	Homo sapiens OX=9606	Probable rRNA-processing protein EBP2 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
959	a	sp|Q9BRA2|TXD17_HUMAN	Q9BRA2	TXD17_HUMAN	TXNDC17	123	11.40	Homo sapiens OX=9606	Thioredoxin domain-containing protein 17 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
960	a	sp|Q9BSH4|TACO1_HUMAN	Q9BSH4	TACO1_HUMAN	TACO1	297	6.10	Homo sapiens OX=9606	Translational activator of cytochrome c oxidase 1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
961	a	sp|Q9BUQ8|DDX23_HUMAN	Q9BUQ8	DDX23_HUMAN	DDX23	820	2.90	Homo sapiens OX=9606	Probable ATP-dependent RNA helicase DDX23 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	11C(57.0215)		
962	a	sp|Q9BVC6|TM109_HUMAN	Q9BVC6	TM109_HUMAN	TMEM109	243	5.30	Homo sapiens OX=9606	Transmembrane protein 109 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
963	a	sp|Q9BXP5|SRRT_HUMAN	Q9BXP5	SRRT_HUMAN	SRRT	876	2.20	Homo sapiens OX=9606	Serrate RNA effector molecule homolog 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
964	a	sp|Q9BXV9|GON7_HUMAN	Q9BXV9	GON7_HUMAN	GON7	100	18.00	Homo sapiens OX=9606	EKC/KEOPS complex subunit GON7 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
965	a	sp|Q9GZS3|WDR61_HUMAN	Q9GZS3	WDR61_HUMAN	WDR61	305	9.50	Homo sapiens OX=9606	WD repeat-containing protein 61 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
966	a	sp|Q9H7B2|RPF2_HUMAN	Q9H7B2	RPF2_HUMAN	RPF2	306	5.60	Homo sapiens OX=9606	Ribosome production factor 2 homolog 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
967	a	sp|Q9H7E9|CH033_HUMAN	Q9H7E9	CH033_HUMAN	C8orf33	229	10.00	Homo sapiens OX=9606	UPF0488 protein C8orf33 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	20C(57.0215), N-term(42.0106)		
968	a	sp|Q9HAV4|XPO5_HUMAN	Q9HAV4	XPO5_HUMAN	XPO5	1204	1.70	Homo sapiens OX=9606	Exportin-5 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
969	a	sp|Q9HB07|MYG1_HUMAN	Q9HB07	MYG1_HUMAN	MYG1	376	3.20	Homo sapiens OX=9606	MYG1 exonuclease 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
970	a	sp|Q9HB71|CYBP_HUMAN	Q9HB71	CYBP_HUMAN	CACYBP	228	6.60	Homo sapiens OX=9606	Calcyclin-binding protein 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
971	a	sp|Q9NPA8|ENY2_HUMAN	Q9NPA8	ENY2_HUMAN	ENY2	101	16.80	Homo sapiens OX=9606	Transcription and mRNA export factor ENY2 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
972	a	sp|Q9NRX4|PHP14_HUMAN	Q9NRX4	PHP14_HUMAN	PHPT1	125	16.00	Homo sapiens OX=9606	14 kDa phosphohistidine phosphatase 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	N-term(42.0106)		
973	a	sp|Q9NS69|TOM22_HUMAN	Q9NS69	TOM22_HUMAN	TOMM22	142	14.80	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM22 homolog 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	N-term(42.0106)		
974	a	sp|Q9NUQ9|CYRIB_HUMAN	Q9NUQ9	CYRIB_HUMAN	CYRIB	324	5.90	Homo sapiens OX=9606	CYFIP-related Rac1 interactor B 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
975	a	sp|Q9NY12|GAR1_HUMAN	Q9NY12	GAR1_HUMAN	GAR1	217	8.30	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit 1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	11C(57.0215), 17C(57.0215)		
976	a	sp|Q9NY33|DPP3_HUMAN	Q9NY33	DPP3_HUMAN	DPP3	737	2.20	Homo sapiens OX=9606	Dipeptidyl peptidase 3 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
977	a	sp|Q9NZL4|HPBP1_HUMAN	Q9NZL4	HPBP1_HUMAN	HSPBP1	359	7.20	Homo sapiens OX=9606	Hsp70-binding protein 1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	8C(57.0215)		
978	a	sp|Q9NZL9|MAT2B_HUMAN	Q9NZL9	MAT2B_HUMAN	MAT2B	334	7.50	Homo sapiens OX=9606	Methionine adenosyltransferase 2 subunit beta 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
979	a	sp|Q9UHD8|SEPT9_HUMAN	Q9UHD8	SEPT9_HUMAN	SEPTIN9	586	4.80	Homo sapiens OX=9606	Septin-9 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
980	a	sp|Q9UI10|EI2BD_HUMAN	Q9UI10	EI2BD_HUMAN	EIF2B4	523	5.00	Homo sapiens OX=9606	Translation initiation factor eIF-2B subunit delta 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
981	a	sp|Q9UKM9|RALY_HUMAN	Q9UKM9	RALY_HUMAN	RALY	306	6.90	Homo sapiens OX=9606	RNA-binding protein Raly 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
982	a	sp|Q9UKS6|PACN3_HUMAN	Q9UKS6	PACN3_HUMAN	PACSIN3	424	3.80	Homo sapiens OX=9606	Protein kinase C and casein kinase substrate in neurons protein 3 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
983	a	sp|Q9Y224|RTRAF_HUMAN	Q9Y224	RTRAF_HUMAN	RTRAF	244	6.10	Homo sapiens OX=9606	RNA transcription, translation and transport factor protein 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	14C(57.0215)		
984	a	sp|Q9Y230|RUVB2_HUMAN	Q9Y230	RUVB2_HUMAN	RUVBL2	463	3.70	Homo sapiens OX=9606	RuvB-like 2 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
985	a	sp|Q9Y2Q3|GSTK1_HUMAN	Q9Y2Q3	GSTK1_HUMAN	GSTK1	226	6.60	Homo sapiens OX=9606	Glutathione S-transferase kappa 1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
986	a	sp|Q9Y2V2|CHSP1_HUMAN	Q9Y2V2	CHSP1_HUMAN	CARHSP1	147	10.90	Homo sapiens OX=9606	Calcium-regulated heat-stable protein 1 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
987	a	sp|Q9Y2Z4|SYYM_HUMAN	Q9Y2Z4	SYYM_HUMAN	YARS2	477	3.80	Homo sapiens OX=9606	Tyrosine--tRNA ligase, mitochondrial 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
988	a	sp|Q9Y394|DHRS7_HUMAN	Q9Y394	DHRS7_HUMAN	DHRS7	339	5.90	Homo sapiens OX=9606	Dehydrogenase/reductase SDR family member 7 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
989	a	sp|Q9Y3A5|SBDS_HUMAN	Q9Y3A5	SBDS_HUMAN	SBDS	250	7.20	Homo sapiens OX=9606	Ribosome maturation protein SBDS 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0	17C(57.0215)		
990	a	sp|Q9Y3C1|NOP16_HUMAN	Q9Y3C1	NOP16_HUMAN	NOP16	178	9.60	Homo sapiens OX=9606	Nucleolar protein 16 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
991	a	sp|Q9Y5Y2|NUBP2_HUMAN	Q9Y5Y2	NUBP2_HUMAN	NUBP2	271	10.00	Homo sapiens OX=9606	Cytosolic Fe-S cluster assembly factor NUBP2 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	     0	     0	     0			
992	a	sp|O15427|MOT4_HUMAN	O15427	MOT4_HUMAN	SLC16A3	465	2.80	Homo sapiens OX=9606	Monocarboxylate transporter 4 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
993	a	sp|O43324|MCA3_HUMAN	O43324	MCA3_HUMAN	EEF1E1	174	14.40	Homo sapiens OX=9606	Eukaryotic translation elongation factor 1 epsilon-1 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
994	a	sp|O43488|ARK72_HUMAN	O43488	ARK72_HUMAN	AKR7A2	359	8.10	Homo sapiens OX=9606	Aflatoxin B1 aldehyde reductase member 2 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0	27C(57.0215), 3C(57.0215)		
995	a	sp|O43765|SGTA_HUMAN	O43765	SGTA_HUMAN	SGTA	313	4.20	Homo sapiens OX=9606	Small glutamine-rich tetratricopeptide repeat-containing protein alpha 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
996	a	sp|O60220|TIM8A_HUMAN	O60220	TIM8A_HUMAN	TIMM8A	97	29.90	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim8 A 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0	N-term(42.0106)		
997	a	sp|O60469|DSCAM_HUMAN	O60469	DSCAM_HUMAN	DSCAM	2012	0.50	Homo sapiens OX=9606	Down syndrome cell adhesion molecule 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
998	a	sp|O60547|GMDS_HUMAN	O60547	GMDS_HUMAN	GMDS	372	4.30	Homo sapiens OX=9606	GDP-mannose 4,6 dehydratase 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0	14C(57.0215)		
999	a	sp|O95218|ZRAB2_HUMAN	O95218	ZRAB2_HUMAN	ZRANB2	330	4.80	Homo sapiens OX=9606	Zinc finger Ran-binding domain-containing protein 2 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1000	a	sp|O95394|AGM1_HUMAN	O95394	AGM1_HUMAN	PGM3	542	2.40	Homo sapiens OX=9606	Phosphoacetylglucosamine mutase 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1001	a	sp|P00004|CYC_HORSE	P00004	CYC_HORSE	CYCS	105	10.50	Equus caballus	Cytochrome c 	1:Experimental evidence at protein level	0.9918	0.9989	1	0	1	2	0	2	     0	     0	     0			sp|P99999|CYC_HUMAN
1002	a	sp|P10768|ESTD_HUMAN	P10768	ESTD_HUMAN	ESD	282	8.20	Homo sapiens OX=9606	S-formylglutathione hydrolase 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1003	a	sp|P12081|SYHC_HUMAN	P12081	SYHC_HUMAN	HARS	509	4.30	Homo sapiens	Histidine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1004	a	sp|P22059|OSBP1_HUMAN	P22059	OSBP1_HUMAN	OSBP	807	1.60	Homo sapiens OX=9606	Oxysterol-binding protein 1 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1005	a	sp|P28288|ABCD3_HUMAN	P28288	ABCD3_HUMAN	ABCD3	659	2.40	Homo sapiens OX=9606	ATP-binding cassette sub-family D member 3 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1006	a	sp|P36405|ARL3_HUMAN	P36405	ARL3_HUMAN	ARL3	182	12.10	Homo sapiens OX=9606	ADP-ribosylation factor-like protein 3 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1007	a	sp|P41236|IPP2_HUMAN	P41236	IPP2_HUMAN	PPP1R2	205	5.40	Homo sapiens OX=9606	Protein phosphatase inhibitor 2 	1:Experimental evidence at protein level	0.9918	0.9989	1	0	1	2	0	2	     0	     0	     0	N-term(42.0106)		sp|Q6NXS1|IPP2B_HUMAN
1008	a	sp|P51116|FXR2_HUMAN	P51116	FXR2_HUMAN	FXR2	673	3.00	Homo sapiens OX=9606	Fragile X mental retardation syndrome-related protein 2 	1:Experimental evidence at protein level	0.9918	0.9989	1	0	1	1	0	1	     0	     0	     0			sp|Q06787|FMR1_HUMAN
1009	a	sp|P51808|DYLT3_HUMAN	P51808	DYLT3_HUMAN	DYNLT3	116	14.70	Homo sapiens OX=9606	Dynein light chain Tctex-type 3 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0	2C(57.0215)		
1010	a	sp|P62820|RAB1A_HUMAN	P62820	RAB1A_HUMAN	RAB1A	205	8.30	Homo sapiens OX=9606	Ras-related protein Rab-1A 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1011	a	sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	7.60	Homo sapiens	SUMO-conjugating enzyme UBC9 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1012	a	sp|Q07020|RL18_HUMAN	Q07020	RL18_HUMAN	RPL18	188	5.30	Homo sapiens OX=9606	60S ribosomal protein L18 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1013	a	sp|Q14254|FLOT2_HUMAN	Q14254	FLOT2_HUMAN	FLOT2	428	2.80	Homo sapiens OX=9606	Flotillin-2 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1014	a	sp|Q15785|TOM34_HUMAN	Q15785	TOM34_HUMAN	TOMM34	309	5.80	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM34 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1015	a	sp|Q5T6F2|UBAP2_HUMAN	Q5T6F2	UBAP2_HUMAN	UBAP2	1119	2.00	Homo sapiens OX=9606	Ubiquitin-associated protein 2 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1016	a	sp|Q8IVU3|HERC6_HUMAN	Q8IVU3	HERC6_HUMAN	HERC6	1022	1.90	Homo sapiens OX=9606	Probable E3 ubiquitin-protein ligase HERC6 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0		Hex(2)(324.105600)	
1017	a	sp|Q9NP92|RT30_HUMAN	Q9NP92	RT30_HUMAN	MRPS30	439	3.40	Homo sapiens OX=9606	39S ribosomal protein S30, mitochondrial 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0	4C(57.0215), 6C(57.0215)		
1018	a	sp|Q9NYJ1|COA4_HUMAN	Q9NYJ1	COA4_HUMAN	COA4	87	17.20	Homo sapiens OX=9606	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1019	a	sp|Q9UGI8|TES_HUMAN	Q9UGI8	TES_HUMAN	TES	421	4.00	Homo sapiens OX=9606	Testin 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0	1C(57.0215)		
1020	a	sp|Q9UII2|ATIF1_HUMAN	Q9UII2	ATIF1_HUMAN	ATP5IF1	106	9.40	Homo sapiens OX=9606	ATPase inhibitor, mitochondrial 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1021	a	sp|Q9Y5L0|TNPO3_HUMAN	Q9Y5L0	TNPO3_HUMAN	TNPO3	923	1.80	Homo sapiens OX=9606	Transportin-3 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	     0	     0	     0			
1022	a	sp|O95478|NSA2_HUMAN	O95478	NSA2_HUMAN	NSA2	260	3.80	Homo sapiens OX=9606	Ribosome biogenesis protein NSA2 homolog 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1023	a	sp|P13073|COX41_HUMAN	P13073	COX41_HUMAN	COX4I1	169	6.50	Homo sapiens OX=9606	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1024	a	sp|P46060|RAGP1_HUMAN	P46060	RAGP1_HUMAN	RANGAP1	587	1.90	Homo sapiens OX=9606	Ran GTPase-activating protein 1 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0	9C(57.0215)		
1025	a	sp|P62910|RL32_HUMAN	P62910	RL32_HUMAN	RPL32	135	9.60	Homo sapiens OX=9606	60S ribosomal protein L32 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0	3C(57.0215)		
1026	a	sp|P62942|FKB1A_HUMAN	P62942	FKB1A_HUMAN	FKBP1A	108	15.70	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP1A 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0	5C(57.0215)		
1027	a	sp|Q03252|LMNB2_HUMAN	Q03252	LMNB2_HUMAN	LMNB2	620	2.70	Homo sapiens OX=9606	Lamin-B2 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1028	a	sp|Q15629|TRAM1_HUMAN	Q15629	TRAM1_HUMAN	TRAM1	374	2.90	Homo sapiens OX=9606	Translocating chain-associated membrane protein 1 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1029	a	sp|Q8IWA0|WDR75_HUMAN	Q8IWA0	WDR75_HUMAN	WDR75	830	2.30	Homo sapiens OX=9606	WD repeat-containing protein 75 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1030	a	sp|Q96I99|SUCB2_HUMAN	Q96I99	SUCB2_HUMAN	SUCLG2	432	5.80	Homo sapiens OX=9606	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0	21C(57.0215)		
1031	a	sp|Q9NPD3|EXOS4_HUMAN	Q9NPD3	EXOS4_HUMAN	EXOSC4	245	4.90	Homo sapiens OX=9606	Exosome complex component RRP41 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1032	a	sp|Q9UJU6|DBNL_HUMAN	Q9UJU6	DBNL_HUMAN	DBNL	430	2.60	Homo sapiens OX=9606	Drebrin-like protein 	1:Experimental evidence at protein level	0.9910	0.9988	1	1	1	1	1	1	     0	     0	     0			
1033	a	sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	1.50	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1034	a	sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	8.40	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1035	a	sp|O43865|SAHH2_HUMAN	O43865	SAHH2_HUMAN	AHCYL1	530	2.30	Homo sapiens OX=9606	S-adenosylhomocysteine hydrolase-like protein 1 	1:Experimental evidence at protein level	0.9903	0.9987	1	0	1	2	0	2	     0	     0	     0			sp|Q96HN2|SAHH3_HUMAN
1036	a	sp|O75494|SRS10_HUMAN	O75494	SRS10_HUMAN	SRSF10	262	4.20	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 10 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1037	a	sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	3.10	Homo sapiens OX=9606	Isocitrate dehydrogenase [NADP] cytoplasmic 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1038	a	sp|O75934|SPF27_HUMAN	O75934	SPF27_HUMAN	BCAS2	225	10.20	Homo sapiens OX=9606	Pre-mRNA-splicing factor SPF27 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0	9C(57.0215)		
1039	a	sp|O95881|TXD12_HUMAN	O95881	TXD12_HUMAN	TXNDC12	172	8.70	Homo sapiens OX=9606	Thioredoxin domain-containing protein 12 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1040	a	sp|P20962|PTMS_HUMAN	P20962	PTMS_HUMAN	PTMS	102	11.80	Homo sapiens OX=9606	Parathymosin 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1041	a	sp|P21964|COMT_HUMAN	P21964	COMT_HUMAN	COMT	271	8.10	Homo sapiens OX=9606	Catechol O-methyltransferase 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0	11C(57.0215)		
1042	a	sp|P24390|ERD21_HUMAN	P24390	ERD21_HUMAN	KDELR1	212	5.20	Homo sapiens OX=9606	ER lumen protein-retaining receptor 1 	1:Experimental evidence at protein level	0.9903	0.9987	1	0	1	1	0	1	     0	     0	     0			sp|P33947|ERD22_HUMAN
1043	a	sp|P28340|DPOD1_HUMAN	P28340	DPOD1_HUMAN	POLD1	1107	1.40	Homo sapiens OX=9606	DNA polymerase delta catalytic subunit 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0	10C(57.0215), 13C(57.0215)		
1044	a	sp|P35606|COPB2_HUMAN	P35606	COPB2_HUMAN	COPB2	906	1.40	Homo sapiens OX=9606	Coatomer subunit beta' 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1045	a	sp|P53634|CATC_HUMAN	P53634	CATC_HUMAN	CTSC	463	2.60	Homo sapiens OX=9606	Dipeptidyl peptidase 1 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1046	a	sp|P55769|NH2L1_HUMAN	P55769	NH2L1_HUMAN	SNU13	128	8.60	Homo sapiens OX=9606	NHP2-like protein 1 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1047	a	sp|P61026|RAB10_HUMAN	P61026	RAB10_HUMAN	RAB10	200	5.00	Homo sapiens OX=9606	Ras-related protein Rab-10 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1048	a	sp|Q00765|REEP5_HUMAN	Q00765	REEP5_HUMAN	REEP5	189	5.80	Homo sapiens OX=9606	Receptor expression-enhancing protein 5 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1049	a	sp|Q13057|COASY_HUMAN	Q13057	COASY_HUMAN	COASY	564	4.10	Homo sapiens OX=9606	Bifunctional coenzyme A synthase 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1050	a	sp|Q15067|ACOX1_HUMAN	Q15067	ACOX1_HUMAN	ACOX1	660	3.60	Homo sapiens OX=9606	Peroxisomal acyl-coenzyme A oxidase 1 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1051	a	sp|Q969Z0|FAKD4_HUMAN	Q969Z0	FAKD4_HUMAN	TBRG4	631	3.50	Homo sapiens OX=9606	FAST kinase domain-containing protein 4 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0	20C(57.0215)		
1052	a	sp|Q96KP4|CNDP2_HUMAN	Q96KP4	CNDP2_HUMAN	CNDP2	475	2.50	Homo sapiens OX=9606	Cytosolic non-specific dipeptidase 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1053	a	sp|Q9BQA1|MEP50_HUMAN	Q9BQA1	MEP50_HUMAN	WDR77	342	4.40	Homo sapiens OX=9606	Methylosome protein 50 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0	8C(57.0215)		
1054	a	sp|Q9GZT3|SLIRP_HUMAN	Q9GZT3	SLIRP_HUMAN	SLIRP	109	9.20	Homo sapiens OX=9606	SRA stem-loop-interacting RNA-binding protein, mitochondrial 	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0			
1055	a	sp|Q9NX63|MIC19_HUMAN	Q9NX63	MIC19_HUMAN	CHCHD3	227	5.70	Homo sapiens OX=9606	MIC	1:Experimental evidence at protein level	0.9903	0.9987	1	1	1	1	1	1	     0	     0	     0	7C(57.0215)		
